account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct
SKUSAM,4018.89,0.0,0.0,0.0,6,0.0,0.0
SINRAJ,4015.5,0.0,0.0,0.0,5,0.0,0.0
STRRIC,4013.5,0.0,0.0,0.0,5,0.0,0.0
BERJAM,4012.46,0.0,0.0,0.0,5,0.0,0.0
ODOBRI,4007.0,0.0,0.0,0.0,7,0.0,0.0
BENWIL,3987.86,0.0,0.0,0.0,4,0.0,0.0
ROCKERT,3979.0,0.0,0.0,0.0,5,0.0,0.0
GALPOLNV,3966.69,0.0,0.0,0.0,4,0.0,0.0
FERRIC,3965.11,0.0,0.0,0.0,6,0.0,0.0
ADLELI,3949.0,0.0,0.0,0.0,3,0.0,0.0
CAPSCO,3927.36,159.0,0.0,0.0,3,0.0,0.0
MULJENRW,3922.4,0.0,0.0,0.0,5,0.0,0.0
RASFOA,3904.97,0.0,0.0,0.0,3,0.0,0.0
REINROB,3904.0,0.0,0.0,0.0,3,0.0,0.0
RATFRE,3903.5,0.0,0.0,0.0,2,0.0,0.0
MITYOL,3898.0,0.0,0.0,0.0,4,0.0,0.0
HEFBEN,3891.5,0.0,0.0,0.0,6,0.0,0.0
DISLAN,3887.0,0.0,0.0,0.0,4,0.0,0.0
CHEKAI,3882.45,0.0,0.0,0.0,5,0.0,0.0
WARISR,3875.13,116.97999999999999,372.0,0.0,6,-68.6,0.0
SIKGRE,3873.42,0.0,0.0,0.0,6,0.0,0.0
SANAVA,3869.97,0.0,0.0,0.0,5,0.0,0.0
LAWRAN,3864.5,0.0,0.0,0.0,5,0.0,0.0
DAVMAR,3852.5,0.0,0.0,0.0,4,0.0,0.0
PATGIA,3843.96,1061.0,0.0,0.0,5,0.0,0.0
HRAHEA,3843.5,0.0,0.0,0.0,3,0.0,0.0
SINAMA,3835.61,0.0,0.0,0.0,7,0.0,0.0
ISRVIN,3833.58,0.0,0.0,0.0,3,0.0,0.0
MCAJES,3828.15,0.0,0.0,0.0,7,0.0,0.0
CAMWESHP,3821.52,0.0,0.0,0.0,6,0.0,0.0
WASMIC,3805.23,0.0,0.0,0.0,4,0.0,0.0
RIYTARCHI,3805.2200000000003,3805.2200000000003,0.0,0.0,5,0.0,0.0
TRCKEN,3803.5,0.0,0.0,0.0,2,0.0,0.0
PATPRASH,3800.99,0.0,0.0,0.0,2,0.0,0.0
NOVHEI,3782.96,0.0,0.0,0.0,6,0.0,0.0
CLELES,3766.5,0.0,0.0,0.0,6,0.0,0.0
PIATHO,3764.5,0.0,0.0,0.0,6,0.0,0.0
KELROBTX,3764.44,0.0,0.0,0.0,2,0.0,0.0
