account_id,ltd_sales,ytd_sales,ly_sales,mtd_sales,lm_sales,q1_sales,q2_sales,q3_sales,q4_sales,ytd_remake,ly_remake,mtd_remake,lm_remake,q1_remake,q2_remake,q3_remake,q4_remake,product_id,product_type,department,product_group,is_implant
SIGRIC,531.6800000000001,531.6800000000001,194.0,184.31,184.31,163.06,0.0,368.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SILJEN,399.0,399.0,1813.0,0.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMARTPARTS,SMART CONVERSION PARTS,,,False
SINJAS,127.49,127.49,1024.99,0.0,0.0,127.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNEMAXL,LAYERED EMAX,,,False
SINMAN,17726.99,17726.99,21569.120000000003,0.0,1556.75,8004.23,8166.01,1556.75,0.0,0.0,685.98,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SINPAU,15292.85,15292.85,25708.66,0.0,2362.83,7856.1,5073.92,2362.83,0.0,0.0,1692.93,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SINPAUNV,53.1,53.1,0.0,0.0,0.0,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MODC1,PRINTED STUDY MODEL 1 ARCH,,,False
SINSUN,4494.29,4494.29,5485.93,0.0,695.4,1816.82,1982.0700000000002,695.4,0.0,0.0,307.98,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SKRLEO,8966.05,8966.05,16437.18,0.0,1825.52,4201.19,2939.34,1825.52,0.0,0.0,218.97,0.0,0.0,0.0,0.0,0.0,0.0,CRNDRCALLF,Call Doctor with Die Trim- C&B,,,False
SLAMIC,640.81,640.81,0.0,0.0,640.81,0.0,0.0,640.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGSTNTBSKY,CO-DIAGNOSTIX SURGICAL GUIDE,,,False
SLAMICCS,299.12,299.12,1158.93,0.0,0.0,0.0,299.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SLAMICDYE,1806.89,1806.89,4695.91,584.9300000000001,0.0,1021.96,200.0,584.9300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGADDSITE,SURGICAL GUIDE ADDITIONAL SITE,,,False
SLAMICHOM,1685.1100000000001,1685.1100000000001,4689.99,0.0,0.0,231.36,1453.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGMODCADREM,DIGITAL PRINTED MODEL REMOVABLE (PER ARCH),,,False
SLAMICJOL,9554.89,9554.89,22111.09,0.0,1334.56,5459.8099999999995,2760.52,1334.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SMYEMI,528.0,528.0,1434.0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMARTADDSITE,SMART CONVERSION ADD SITE,,,False
SOHMUHCP,638.53,638.53,775.99,0.0,0.0,638.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGSTNTBSKY,CO-DIAGNOSTIX SURGICAL GUIDE,,,False
SOHMUHHW,1511.8799999999999,1511.8799999999999,1935.92,0.0,0.0,0.0,1511.8799999999999,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,SGADDSITE,SURGICAL GUIDE ADDITIONAL SITE,,,False
SOHMUHLA,1669.29,1669.29,3089.15,0.0,0.0,826.77,842.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DTARTICA1,HERAEUS ARTIC ANTERIOR 1 TOOTH,,,False
SOHMUHLAK,2557.79,2557.79,3495.31,0.0,1377.25,180.24,1000.3,1377.25,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,SGSTNTBSKY,CO-DIAGNOSTIX SURGICAL GUIDE,,,False
SOLLUK,1338.77,1338.77,2701.99,0.0,1331.78,6.99,0.0,1331.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SOMMEDAU,847.46,847.46,6489.92,0.0,0.0,847.46,0.0,0.0,0.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNZIRCBR,ZIRC BRIDGE CARVE G/S 2-5,,,False
SONSEO,1126.47,1126.47,552.0,0.0,70.59,702.94,352.94,70.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
SOOANUHE,21826.98,21826.98,25146.88,0.0,2889.67,8395.19,10542.119999999999,2889.67,0.0,184.12,2566.67,0.0,0.0,0.0,184.12,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SPRTOD,284.21,284.21,763.98,0.0,0.0,0.0,284.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DTMONDA1,HERAEUS MONDIAL ANTERIOR 1 TOOTH,,,False
STAKENCR,1280.3799999999999,1280.3799999999999,0.0,0.0,0.0,876.28,404.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
STEROK,1667.18,1667.18,984.3800000000001,0.0,0.0,818.17,849.01,0.0,0.0,46.02,105.99,0.0,0.0,46.02,0.0,0.0,0.0,DIGBRUXCRN,DIGITAL BRUXZIR,,,False
STODAV,890.0,890.0,2442.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,ART-EVQC-CLMI,Artistic Call Missing Info,,,False
STOELZ,3370.27,3370.27,0.0,0.0,315.40000000000003,2030.93,1023.94,315.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
STOMAR,1564.51,1564.51,7158.26,0.0,0.0,1564.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DENREPCOM,COMPLEX REPAIR,,,False
STOMARC,10853.3,10853.3,25887.269999999997,0.0,0.0,8045.88,2807.42,0.0,0.0,260.83000000000004,1150.95,0.0,0.0,214.81,46.02,0.0,0.0,IMPEVAL,Eval Implant,,,False
STOSAL,1543.39,1543.39,3715.9700000000003,0.0,0.0,1543.39,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SUDAMINAP,3592.68,3592.68,6961.92,0.0,193.35,2252.31,1147.02,193.35,0.0,0.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,DIGEMAXL,DIGITAL EMAX LAYERED,,,False
SUHINE,9592.08,9592.08,0.0,0.0,2820.7799999999997,877.17,5894.129999999999,2820.7799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SUKGHA,119.94999999999999,119.94999999999999,0.0,0.0,0.0,119.94999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SUKMAJ,6973.75,6973.75,6981.47,0.0,853.36,3236.66,2883.73,853.36,0.0,0.0,1409.96,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SULKHAFL,30313.75,30313.75,39728.31,0.0,1179.72,16590.7,12543.33,1179.72,0.0,38.78,1154.99,0.0,38.78,0.0,0.0,38.78,0.0,ASC,ANGLED SCREW CHANNEL,,,False
SUNJOO,7258.65,7258.65,9347.42,0.0,0.0,6955.91,302.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CRNBRUX,BRUXZIR,,,False
SWEMAT,2300.39,2300.39,3951.94,386.69,211.75,770.5799999999999,931.37,598.44,0.0,0.0,813.99,0.0,0.0,0.0,0.0,0.0,0.0,DIGEMAXL,DIGITAL EMAX LAYERED,,,False
SYEMAZ,1310.45,1310.45,0.0,0.0,0.0,0.0,1310.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PARTLESS PROTOYPE,PARTLESS PROTOTYPE,,,False
SYLCOLBL,15220.609999999999,15220.609999999999,24752.08,0.0,1961.8,6577.58,6681.23,1961.8,0.0,0.0,981.91,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
SZASCO,2195.31,2195.31,500.0,0.0,1275.63,0.0,919.68,1275.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSSIOSFIN,CHAIRSIDE IOS FOR FINAL AO4,,,False
TADSIM,42646.200000000004,42646.200000000004,24805.83,159.58,6514.92,20638.81,15332.890000000001,6674.5,0.0,207.22,1014.0,0.0,0.0,39.0,168.22,0.0,0.0,CRNBRUX,BRUXZIR,,,False
TADSIMFL,1708.8500000000001,1708.8500000000001,1367.98,0.0,0.0,1708.8500000000001,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,REMADJ,REMOVABLE ADJUSTMENT,,,False
TANFRA,442.71,442.71,433.95,0.0,0.0,312.96999999999997,129.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INFCONT,FDA INFECTION CONTROL,,,False
TAPGAR,23784.32,23784.32,36161.96000000001,0.0,4460.48,8843.54,10480.3,4460.48,0.0,0.0,1599.63,0.0,0.0,0.0,0.0,0.0,0.0,ORTESSEX,ESSEX APPLIANCE,,,False
