account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
HYVIRE,106246.37,7091.86,20290.61,0.0,9,8454.42,-16.1,0.0,28209970.34000001,0.6648192427341001
GATGUY,101895.45999999999,4688.45,12989.11,662.9200000000001,7,5412.13,-13.4,14.14,28311865.800000012,0.6672205945164232
OGRLIS,100386.13,5268.96,11050.9,0.0,9,4604.54,14.4,0.0,28412251.93000001,0.6695863761930163
MARALI,99928.9,0.0,1200.88,0.0,7,500.37,-100.0,0.0,28512180.83000001,0.6719413824133189
RYASEA,99762.75,8728.24,27878.32,529.47,7,11615.97,-24.9,6.07,28611943.58000001,0.6742924730067757
HANPATSK,98496.54,6018.58,8268.2,0.0,8,3445.08,74.7,0.0,28710440.12000001,0.676613723059346
EBERIC,98113.23,8340.98,8982.15,0.0,6,3742.56,122.9,0.0,28808553.35000001,0.6789259397148278
BARDEN,97734.39,0.0,673.46,0.0,8,280.61,-100.0,0.0,28906287.74000001,0.6812292283168987
MCCJOS,97476.78,4488.45,14765.539999999999,353.95,7,6152.31,-27.0,7.89,29003764.52000001,0.6835264458709303
JANPET,97346.69,4617.48,11103.66,0.0,7,4626.53,-0.2,0.0,29101111.210000012,0.6858205976175809
DARDAVSB,95475.95,4053.65,1311.97,0.0,7,546.65,641.5,0.0,29196587.16000001,0.6880706619747318
BECDEN,93131.75,1407.3700000000001,1672.44,0.0,8,696.85,102.0,0.0,29289718.91000001,0.690265480996633
TEJDIM,91814.15,0.0,199.99,0.0,8,83.33,-100.0,0.0,29381533.06000001,0.6924292483788597
CASLEN,91661.72,7427.8,25218.730000000003,0.0,8,10507.8,-29.3,0.0,29473194.78000001,0.6945894234709865
WITMAT,91121.14,3949.81,18803.100000000002,199.99,8,7834.63,-49.6,5.06,29564315.92000001,0.696736858812525
FONJEN,89870.23,0.0,15106.91,0.0,8,6294.55,-100.0,0.0,29654186.15000001,0.6988548141854954
COLKRI,89377.66,0.0,3203.4800000000005,0.0,8,1334.78,-100.0,0.0,29743563.81000001,0.7009611612508198
SUNJOO,87154.08,6943.37,9347.42,626.95,9,3894.76,78.3,9.03,29830717.890000008,0.703015105610507
ABUSIM,86298.6,16898.4,27913.89,1553.95,9,11630.79,45.3,9.2,29917016.49000001,0.7050488890285513
SCHMICAO4,86193.86,1947.0,0.0,0.0,6,0.0,0.0,0.0,30003210.35000001,0.7070802040580562
ARONINROM,85753.01,2251.0,8065.84,0.0,7,3360.77,-33.0,0.0,30088963.36000001,0.7091011296557529
KHASABMP,85014.91,200.24,8901.91,0.0,7,3709.13,-94.6,0.0,30173978.27000001,0.7111046605849282
MANTRE,84847.32,2557.8,12088.83,249.97,8,5037.01,-49.2,9.77,30258825.59000001,0.7131042419510395
ARNIVAMP,83312.06,1058.82,1810.81,0.0,8,754.5,40.3,0.0,30342137.65000001,0.7150676421238246
POSBRI,82771.75,1323.91,7636.52,0.0,7,3181.88,-58.4,0.0,30424909.40000001,0.7170183089090622
