account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,ly_prorated,yoy_growth_pct,remake_rate_pct
RODJORCP,67132.97,0.0,0.0,0.0,8,0.0,0.0,0.0
GALPET,67002.72,5747.5,8950.42,195.24,7,3729.34,54.1,3.4
SKOTHOELB,66847.7,0.0,0.0,0.0,8,0.0,0.0,0.0
MOSKEV,66836.08,0.0,0.0,0.0,8,0.0,0.0,0.0
MUNART,66823.24,0.0,0.0,0.0,7,0.0,0.0,0.0
SOLJOS,66303.47,0.0,0.0,0.0,7,0.0,0.0,0.0
LODPETAUR,66297.97,0.0,0.0,0.0,8,0.0,0.0,0.0
WEBBAR,65874.22,0.0,0.0,0.0,8,0.0,0.0,0.0
REEDAVIN,65566.88,0.0,0.0,0.0,8,0.0,0.0,0.0
SCOBEN,65241.28,0.0,0.0,0.0,6,0.0,0.0,0.0
WASWIL,65026.12,0.0,0.0,0.0,7,0.0,0.0,0.0
SUKMAJ,64743.99,3129.77,6981.47,105.99,8,2908.95,7.6,3.39
COHADA,64562.3,623.0,50643.75,78.0,8,21101.56,-97.0,12.52
HASJOSWI,64323.96,0.0,0.0,0.0,9,0.0,0.0,0.0
BOSREB,64304.28,0.0,0.0,0.0,8,0.0,0.0,0.0
ATTALA,64091.5,0.0,808.4000000000001,0.0,8,336.83,-100.0,0.0
THUHAD,63835.93,0.0,0.0,0.0,7,0.0,0.0,0.0
HAUTHE,63823.53,0.0,0.0,0.0,6,0.0,0.0,0.0
NICJEF,63787.75,17841.37,44113.89,1057.24,7,18380.79,-2.9,5.93
MILPAU,63367.06,0.0,0.0,0.0,7,0.0,0.0,0.0
KURMAT,63056.310000000005,0.0,0.0,0.0,8,0.0,0.0,0.0
ESCVICCROS,63032.17,0.0,0.0,0.0,4,0.0,0.0,0.0
PATSHIBV,62908.04000000001,2108.8,12275.3,0.0,7,5114.71,-58.8,0.0
BAPBENNR,62589.72,5893.92,12843.81,567.99,8,5351.59,10.1,9.64
IRVJOH,62582.72,0.0,0.0,0.0,7,0.0,0.0,0.0
GRUJOE,62382.26,0.0,0.0,0.0,7,0.0,0.0,0.0
SULKHAFL,62336.31,22608.0,39728.31,504.0,9,16553.46,36.6,2.23
GUDCHR,62111.84,0.0,228.23000000000002,0.0,7,95.1,-100.0,0.0
HARRAC,62019.55,0.0,0.0,0.0,6,0.0,0.0,0.0
LINVIN,61924.24,3419.83,7615.92,0.0,8,3173.3,7.8,0.0
LEMEDW,61195.54,0.0,0.0,0.0,9,0.0,0.0,0.0
LAWSTE,61174.66,247.48000000000002,8583.02,0.0,8,3576.26,-93.1,0.0
LODPETYOR,60831.39,0.0,0.0,0.0,8,0.0,0.0,0.0
BADATT,60740.35,0.0,0.0,0.0,7,0.0,0.0,0.0
MEYTHODS,60530.55,0.0,0.0,0.0,8,0.0,0.0,0.0
VOGAAR,60426.95,0.0,0.0,0.0,8,0.0,0.0,0.0
VYAHARMO,60235.53,0.0,9143.93,0.0,7,3809.97,-100.0,0.0
MARANTMD,60224.229999999996,0.0,0.0,0.0,8,0.0,0.0,0.0
SOOANUHE,60133.18,13236.27,25146.88,1227.8799999999999,8,10477.87,26.3,9.28
WEITHO,60030.14,2670.88,377.99,504.98,8,157.5,1595.8,18.91
KOSFAY,59781.67,99.99,0.0,0.0,8,0.0,0.0,0.0
PATAME,59772.780000000006,6219.360000000001,10410.02,0.0,7,4337.51,43.4,0.0
MCBGRE,59721.09,0.0,387.23,0.0,5,161.35,-100.0,0.0
HARRACHUN,59342.37,0.0,0.0,0.0,6,0.0,0.0,0.0
PATBIN,59288.78,208.99,130.0,0.0,7,54.17,285.8,0.0
HASJOS,58963.03,0.0,0.0,0.0,7,0.0,0.0,0.0
KLEJAM,58828.619999999995,0.0,0.0,0.0,4,0.0,0.0,0.0
DAMRAY,58770.07,0.0,0.0,0.0,8,0.0,0.0,0.0
FUTGEO,58744.31,0.0,0.0,0.0,8,0.0,0.0,0.0
FAUJOH,58660.33,0.0,0.0,0.0,5,0.0,0.0,0.0
RYAMICTP,58642.34,0.0,0.0,0.0,6,0.0,0.0,0.0
PARKRURO,58611.16,0.0,15592.42,0.0,7,6496.84,-100.0,0.0
SPIKIM,58604.72,0.0,0.0,0.0,8,0.0,0.0,0.0
DELDAV,58572.35999999999,2096.8,6975.67,0.0,4,2906.53,-27.9,0.0
ELMSAM,58400.15,0.0,0.0,0.0,6,0.0,0.0,0.0
DOUJASVA,58370.75,8851.47,17476.37,512.94,6,7281.82,21.6,5.79
BARMEEAR,58102.21,0.0,0.0,0.0,5,0.0,0.0,0.0
PAPAMI,57730.57,5359.62,8744.72,0.0,6,3643.63,47.1,0.0
GARLAR,57288.770000000004,0.0,0.0,0.0,8,0.0,0.0,0.0
GARLIN,57252.07,2498.1,5032.34,179.0,6,2096.81,19.1,7.17
DABHAZMAN,57102.270000000004,1549.8400000000001,2473.01,0.0,6,1030.42,50.4,0.0
