account_id,ltd_sales,ytd_sales,ly_sales,ytd_remake,product_lines,yoy_growth_pct,remake_rate_pct,cum_ltd,cum_pct
KUCMAR,364267.62,9295.42,24304.44,729.96,8,-61.8,7.85,9314521.07,0.11152509329522901
ALSEMA,356026.13,19266.3,70110.34,1415.4,7,-72.5,7.35,9670547.200000001,0.11578788330508503
PATRIC,354785.2,0.0,0.0,0.0,9,0.0,0.0,10025332.4,0.12003581534929979
NEWDAV,352183.64,467.28,1070.88,0.0,8,-56.4,0.0,10377516.040000001,0.12425259826415698
TAPGAR,351265.65,11414.32,36161.96000000001,0.0,7,-68.4,0.0,10728781.690000001,0.12845838985486294
BRERIC,342972.82,3627.76,21799.36,105.99,8,-83.4,2.92,11071754.510000002,0.13256488931530463
GAFCOL,336826.11,20386.84,52802.26,784.88,9,-61.4,3.85,11408580.620000001,0.13659779267766922
MCCSCO,327768.46,13473.52,49363.079999999994,109.99,7,-72.7,0.82,11736349.080000002,0.14052224652838488
WOJMAR,325514.54,0.0,671.0,0.0,8,-100.0,0.0,12061863.620000001,0.1444197136305183
FRASCO,321997.82,0.0,2149.49,0.0,9,-100.0,0.0,12383861.440000001,0.1482750741634416
LEVROR,319823.07,1963.98,2997.0,0.0,9,-34.5,0.0,12703684.510000002,0.15210439587001823
SATHAR,313697.23,639.96,21294.45,0.0,6,-97.0,0.0,13017381.740000002,0.15586037136025405
GURPHI,310678.41,1149.0,9535.0,0.0,8,-87.9,0.0,13328060.150000002,0.15958020176266285
REMTHO,309424.56,8878.210000000001,22842.14,1718.83,8,-61.1,19.36,13637484.710000003,0.16328501950503502
ANDMAR,308120.54,14671.92,28067.24,89.99,9,-47.7,0.61,13945605.250000002,0.166974223889397
GREGGA,305174.88,0.0,0.0,0.0,8,0.0,0.0,14250780.130000003,0.17062815914893262
POLNIC,298860.25,2141.86,17689.55,0.0,9,-87.9,0.0,14549640.380000003,0.17420648776218095
NIEMAR,296890.22,12512.92,43659.0,1178.73,8,-71.3,9.42,14846530.600000003,0.17776122871290825
FOSERI,291327.26,0.0,12288.22,0.0,8,-100.0,0.0,15137857.860000003,0.18124936295048996
MCKJAM,287209.31,0.0,0.0,0.0,9,0.0,0.0,15425067.170000004,0.18468819194151273
FITROB,286041.76,0.0,0.0,0.0,8,0.0,0.0,15711108.930000003,0.1881130415640099
SLAMICJOL,285502.23,5740.62,22111.09,0.0,9,-74.0,0.0,15996611.160000004,0.19153143125870906
KWITHO,274203.33999999997,0.0,0.0,0.0,8,0.0,0.0,16270814.500000004,0.19481453651399228
GOERON,266956.97,0.0,0.0,0.0,8,0.0,0.0,16537771.470000004,0.19801087916664376
YERPAT,266369.61,10075.5,25926.989999999998,566.98,8,-61.1,5.63,16804141.080000006,0.20120018921092966
ANGLEOCP1,261378.47,0.0,0.0,0.0,8,0.0,0.0,17065519.550000004,0.20432973908612406
TROCHR,260537.1,0.0,3531.78,0.0,8,-100.0,0.0,17326056.650000006,0.20744921502761426
KHASUM,259454.28,15007.44,49261.53,1289.8700000000001,8,-69.5,8.59,17585510.930000007,0.21055572609408682
